MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
d4:3f:32:12:cd:c6,Rowdy,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:27,1.0,2412.0,-82,31.89791010541981,-102.30264160751364,839.565673828125,3.790092468261719,,,WIFI
82:5b:65:2c:f2:43,[LG_Oven]f243,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:28,11.0,2462.0,-84,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
d4:3f:32:12:cd:c4,,[RSN-SAE-CCMP],2024-11-11 23:57:28,100.0,5500.0,-89,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
90:50:ca:57:fc:f8,CGNM-FCF8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2024-11-11 23:57:28,6.0,2437.0,-81,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
ce:22:26:df:b1:cc,Hot Wheels,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:28,1.0,2412.0,-80,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
9a:0b:7c:83:fe:60,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:28,157.0,5785.0,-88,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
d4:3f:32:12:cd:ca,,[ESS],2024-11-11 23:57:28,100.0,5500.0,-91,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
54:65:de:67:e7:20,ARRIS-E722,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:28,11.0,2462.0,-82,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
90:a7:c1:2d:ff:50,Baker devices,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:28,1.0,2412.0,-84,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
00:21:a4:31:c9:42,easttowerswfs5,[ESS],2024-11-11 23:57:28,60.0,5300.0,-77,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
d4:3f:32:12:cd:c7,Rowdy,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:28,100.0,5500.0,-89,31.897931333672503,-102.30252896665768,839.14111328125,3.790092468261719,,,WIFI
